"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs9469220-<b>A</b>,"2 x 10-6",,0.48,1.14,'-,[0.98-1.32],"MTCO3P1, HLA-DQB1","Crohn's disease","Crohn's disease",GCST000042,6:32690533
rs6601764-<b>C</b>,"9 x 10-6",,0.41,1.16,'-,[1.01-1.33],"AL513303.1, LINC02639","Crohn's disease","Crohn's disease",GCST000042,10:3820350
rs17221417-<b>G</b>,"4 x 10-11",,0.29,1.29,'-,[1.13-1.46],NOD2,"Crohn's disease","Crohn's disease",GCST000042,16:50705671
rs17234657-<b>G</b>,"2 x 10-12",,0.13,1.54,'-,[1.34-1.76],"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST000042,5:40401407
rs10761659-<b>G</b>,"2 x 10-6",,0.46,1.23,'-,[1.05-1.45],AC067751.1,"Crohn's disease","Crohn's disease",GCST000042,10:62685804
rs72743477-<b>G</b>,"8 x 10-11",,0.21,'-,'-,'-,SMAD3,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,15:67171953
rs12598357-<b>G</b>,"4 x 10-9",,0.39,'-,'-,'-,"AC138904.2, SBK1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,16:28329624
rs12928404-<b>C</b>,"6 x 10-7",,0.38,'-,'-,'-,"ATXN2L, AC133550.2","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,16:28835925
rs117372389-<b>T</b>,"8 x 10-11",,0.02,'-,'-,'-,NKD1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,16:50634166
rs12232497-<b>C</b>,"3 x 10-7",,0.45,'-,'-,'-,"GSDMB, ZPBP2","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,17:39883866
rs62131887-<b>T</b>,"4 x 10-7",,0.28,'-,'-,'-,"KEAP1, PDE4A","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,19:10476920
rs602662-<b>G</b>,"5 x 10-8",,0.49,'-,'-,'-,FUT2,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,19:48703728
rs2738774-<b>A</b>,"9 x 10-7",,0.32,'-,'-,'-,"STMN3, MHENCR","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,20:63637985
rs2836882-<b>A</b>,"5 x 10-8",,0.27,'-,'-,'-,"AF064858.1, RPL23AP12","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,21:39094644
rs2066363-<b>C</b>,"8 x 10-11",,0.34,'-,'-,'-,ADGRL2,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:81771892
rs114846446-<b>A</b>,"2 x 10-7",,0.01,'-,'-,'-,LINC01250,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, psoriasis, ankylosing spondylitis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,2:2944140
rs7672495-<b>C</b>,"1 x 10-7",,0.18,'-,'-,'-,"CYTL1, RN7SKP113","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,4:4990640
rs7660520-<b>A</b>,"8 x 10-11",,0.26,'-,'-,'-,"TENM3, AC114798.1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,4:182824168
rs7831697-<b>G</b>,"5 x 10-7",,0.25,'-,'-,'-,"RNU6-144P, ZYXP1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,8:137124061
rs7042370-<b>T</b>,"1 x 10-7",,0.43,'-,'-,'-,"LURAP1L, LURAP1L-AS1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,9:12785074
rs10988542-<b>C</b>,"7 x 10-7",,0.08,'-,'-,'-,FNBP1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,9:129894985
rs7100025-<b>G</b>,"8 x 10-11",,0.34,'-,'-,'-,"LINC00993, ANKRD30A","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,10:37303610
rs11839053-<b>C</b>,"1 x 10-6",,0.02,'-,'-,'-,"LINC00460, RPL35P9","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,13:106410694
rs77150043-<b>T</b>,"6 x 10-9",,0.23,'-,'-,'-,ADCY7,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,16:50270338
rs2807264-<b>C</b>,"1 x 10-8",,0.21,'-,'-,'-,"LINC00892, RNU6-320P","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,X:136583619
rs12863738-<b>T</b>,"6 x 10-8",,0.17,'-,'-,'-,AL390879.1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,X:136949968
rs11580078-<b>G</b>,"8 x 10-11",,0.43,'-,'-,'-,"C1orf141, IL23R","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:67203951
rs6679677-<b>A</b>,"8 x 10-11",,0.09,'-,'-,'-,"PHTF1, RSBN1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:113761186
rs34884278-<b>C</b>,"4 x 10-7",,0.3,'-,'-,'-,AL031599.1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:172869708
rs6689858-<b>C</b>,"2 x 10-7",,0.29,'-,'-,'-,CRB1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:197406337
rs55705316-<b>G</b>,"1 x 10-6",,0.14,'-,'-,'-,"IL10, AL591846.1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,1:206760172
rs2075184-<b>T</b>,"9 x 10-8",,0.23,'-,'-,'-,"IL18RAP, SLC9A4","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,2:102464132
rs36001488-<b>C</b>,"8 x 10-11",,0.48,'-,'-,'-,ATG16L1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,2:233276621
rs4676410-<b>A</b>,"2 x 10-7",,0.19,'-,'-,'-,GPR35,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,2:240624322
rs4625-<b>G</b>,"8 x 10-11",,0.31,'-,'-,'-,DAG1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,3:49534707
rs62324212-<b>A</b>,"3 x 10-8",,0.42,'-,'-,'-,IL21-AS1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,4:122639784
rs7725052-<b>C</b>,"8 x 10-11",,0.43,'-,'-,'-,"AC114977.1, AC114977.2","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,5:40487168
rs7731626-<b>A</b>,"1 x 10-10",,0.39,'-,'-,'-,ANKRD55,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,5:56148856
rs4869313-<b>T</b>,"9 x 10-8",,0.42,'-,'-,'-,"ERAP2, AC009126.1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,5:96888176
rs11741255-<b>A</b>,"2 x 10-9",,0.42,'-,'-,'-,"IRF1-AS1, AC116366.3","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,5:132475490
rs755374-<b>T</b>,"2 x 10-10",,0.32,'-,'-,'-,AC008691.1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,5:159402286
rs36051895-<b>T</b>,"9 x 10-8",,0.29,'-,'-,'-,"HNRNPA1P41, JAK2","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,9:4981866
rs4246905-<b>T</b>,"1 x 10-8",,0.28,'-,'-,'-,TNFSF15,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,9:114790969
rs11145763-<b>C</b>,"3 x 10-8",,0.4,'-,'-,'-,CARD9,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,9:136369144
rs706778-<b>T</b>,"6 x 10-9",,0.41,'-,'-,'-,IL2RA,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,10:6056986
rs10822050-<b>C</b>,"8 x 10-11",,0.39,'-,'-,'-,"AC024598.1, AC067751.1","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,10:62679011
rs1250563-<b>C</b>,"1 x 10-8",,0.29,'-,'-,'-,ZMIZ1,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,10:79287626
rs1332099-<b>T</b>,"9 x 10-11",,0.46,'-,'-,'-,"SLC25A28, NKX2-3","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,10:99538694
rs17885785-<b>T</b>,"8 x 10-11",,0.2,'-,'-,'-,"AC132217.2, IGF2-AS, INS-IGF2","Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,11:2146620
rs17466626-<b>G</b>,"3 x 10-10",,0.02,'-,'-,'-,LRRK2,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,12:40366829
rs1689510-<b>C</b>,"4 x 10-9",,0.31,'-,'-,'-,SUOX,"Pediatric autoimmune diseases","autoimmune thyroid disease, type I diabetes mellitus, Common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus",GCST003097,12:56002984
rs11924265-<b>C</b>,"2 x 10-8","(CDC stricturing)",0.06,2.27,'-,[1.68-3.09],MAGI1,"Crohn's disease-related phenotypes","stricture, Crohn's disease, complicated disease course",GCST002729,3:65774667
rs10929956-<b>C</b>,"2 x 10-6","(EIM Erythema nodosum)",0.54,1.85,'-,[1.43-2.44],"LY75, LY75-CD302","Crohn's disease-related phenotypes","Erythema nodosum, Crohn's disease",GCST002729,2:159858104
rs1520339-<b>C</b>,"6 x 10-7",(MDC),0.69,1.724138,'-,[1.39-2.13],"LINC01876, AC073225.1","Crohn's disease-related phenotypes","Crohn's disease, mild disease course",GCST002729,2:155895409
rs11924265-<b>C</b>,"5 x 10-7",(B2),0.06,2.03,'-,[1.52-2.73],MAGI1,"Crohn's disease-related phenotypes","stricture, Crohn's disease",GCST002729,3:65774667
rs1869839-<b>?</b>,"7 x 10-6",,0.64,1.2,'-,[1.11-1.3],"MDFIC, FOXP2","Crohn's disease","Crohn's disease",GCST001652,7:114717488
rs2834215-<b>?</b>,"3 x 10-7",,0.58,1.22,'-,[1.12-1.32],IFNGR2,"Crohn's disease","Crohn's disease",GCST001652,21:33424579
rs4820425-<b>A</b>,"3 x 10-8",,0.24,1.27,'-,[1.17-1.38],"RBX1, AL080243.3","Crohn's disease","Crohn's disease",GCST001652,22:41035338
rs2076756-<b>G</b>,"3 x 10-10",,NR,1.46,'-,[NR],NOD2,"Crohn's disease","Crohn's disease",GCST001652,16:50722970
rs11209026-<b>G</b>,"4 x 10-14",,NR,2.84,'-,[NR],IL23R,"Crohn's disease","Crohn's disease",GCST001652,1:67240275
rs3792109-<b>A</b>,"5 x 10-9",,NR,1.38,'-,[NR],"ATG16L1, SCARNA5","Crohn's disease","Crohn's disease",GCST001652,2:233275771
rs11742570-<b>C</b>,"1 x 10-6",,NR,1.32,'-,[NR],"AC108105.1, AC093277.1","Crohn's disease","Crohn's disease",GCST001652,5:40410482
